term,definition,image_filename,photographer
Leg,"the insect leg consists of a series of segments. Starting from most basal they are the coxa, trochanter, femur, tibia, and tarsus.",,
Longitudinal,"oriented along the long axis of a structure. Opposite of transverse.",,
M1,"medial vein one, the most anterior branch of the medial vein. On the forewing of the Noctuoidea, this vein extends from the anterior end of the discal cell to the outer margin, between R5 and M2.",Veins_jpg.jpg,
M2,"medial vein two, the second branch of the medial vein. On the forewings of the Noctuoidea, this vein extends from the posterior end of the discal cell to the outer margin, between veins M1 and M3.",Veins_jpg.jpg,
M3,"medial vein three, the third branch of the medial vein. On the forewing of the Noctuoidea, this vein extends from the posterior end of the discal cell near the cubitus vein to the outer margin, between veins M2 and CuA1.",Veins_jpg.jpg,
Marginal band,"A dark, broad, band along the outer margin of the hindwing. This term is usually reserved for a broad marking that is much darker than the ground color, or has a sharply-defined medial margin.",marginal_band_jpeg.jpg,
Median,"in the middle of a structure, along the midline.",,
Median area,"the portion of the wing between the antemedial and postmedial lines. Technically, this area includes the median and postmedial areas, but this distinction is rarely made because these areas are usually colored similarly.",wing_lines_jpeg.jpg,
Median dash,"a thickened, short line located medially in the lower half of the forewing.",median_dash_jpeg.jpg,
Median line,"a transverse line located in the median area of the forewing, usually near the mid-wing. The median line is typically darker than the surrounding wing, single, thicker and less well-defined than the other transverse lines in the Noctuoidea.",wing_lines_jpeg.jpg,
Median vein,"a longitudinal vein between the radius and cubitus. The portion of this vein proximal to the end of the cell of the forewing has been lost during the course of evolution in the moths included on this site, but its distal branches extend from the end of the cell to the outer margin.",Veins_jpg.jpg,
Mesial,"toward the midline. A synonym of basal, and the opposite of lateral and distal.",,
Multivoltine,"refers to a species that has more than two generations per year.",,
Nearctic,"a subregion of the Holarctic zoogeographic region that includes North America, the northern two-thirds of Mexico and Greenland.",,
Neotropical,"the zoogeographic region that includes southern Mexico, Central America, the West Indies, and South America.",,
Noctuid moth,"a common name used for most members of the families Erebidae, Euteliidae, Nolidae, and Noctuidae, but usually excluding the subfamilies Arctiinae and Lymantriinae of the Erebidae. This common name is based on the fact that these moths were arranged together in the family Noctuidae until recently. Synonymous with Owlet moth.",,
Nocturnal,"active at night. Most moths are active at night and are referred to as nocturnal.",,
Ocellus,"a term that refers to the presence of a central dark spot (pupil) within another spot. Usually used for the orbicular spot of noctuid moths.",,
Orbicular spot,"a round or oval spot located in the middle of the discal cell of the forewing, between the antemedial and median lines. This spot is present in most noctuid moths. The outline of the spot is usually darker than the surrounding wing and its center may contain a darker spot called an ocellus.",spots_jpeg.jpg,
Ostium bursae,"the posterior external opening of the female ductus bursae which receives the male intromittent organ (aedeagus) during copulation. The ostium bursae is located at the ventral aspect of the posterior eighth abdominal segment.",,
Outer margin,"the outer (lateral) edge of the wing.",wing_regions_jpeg.jpg,
Ovipositor,"the egg-laying structure of the female. Often a cylindrical tube used to deposit eggs in specific locations.",,
Ovipositor lobes,"a pair of sclerotized processes at the posterior apex of the female abdomen used to deposit eggs. These are most often conical and are often covered by short or hair-like setae, but can be modified in shape or bear additional flanges or other structures. These are the only part of the female genitalia that are visible without dissection. Also called papillae anales.",,
Ovoid,"oblong, egg-shaped.",,
Owlet moth,"a common name used for most members of the families Erebidae, Euteliidae, Nolidae, and Noctuidae, but usually excluding the subfamilies Arctiinae and Lymantriinae of the Erebidae. This common name is based on the fact that these moths were arranged in the family Noctuidae until recently. Synonymous with Noctuid moth.",,
Palaearctic,"the zoogeographic region that is the Old World part of the Holarctic region. It includes Africa north of the Sahara desert, all of Europe, and Asia north of the Himalayan Mountains",,
Palp,"a segmented structure arising from the labium or maxilla.",,
Palpus,"a segmented structure arising from the labium or maxilla.",,
Papillae anales,"a pair of sclerotized processes at the posterior apex of the female abdomen, used to deposit eggs. These are most often conical, and are often covered by short or hair-like setae, but can be modified in shape or bear additional flanges or other structures. These are the only part of the female genitalia that are visible without dissection. Also referred to as ovipositors or ovipositor lobes.",,
Patagium,"see ""collar""",,
Pectinate,"with branches or tooth-like structures. Often referring to an antenna or the tarsal claws.",,
Phenogram,"a graph depicting the seasonal pattern of capture dates of a species, with the date on the x-axis and number of records on the y-axis.",,
Phenology,"the life history or life cycle of an organism as it relates to development over time within a single generation or several generations over a season.",,
Pollex,"a thumb-like ventral projection from the distal valve of some moths in the tribe Noctuini-notably in the genus Xestia. This structure resembles a digitus but is considered to be separately derived.",,
Posterior,"the ""tail"" end of an organism, as opposed to the anterior or ""head"" end of an organism.",,
Posterior margin,"the hind margin of the forewing, opposite the costal margin. Also referred to as the trailing margin.",wing_regions_jpeg.jpg,
Postmedial line,"a thin, transverse line located lateral to the discal spot, typically on distal third of the forewing. This line is usually darker than the surrounding wing. It is often double, with a darker medial component, and is scalloped between the veins in the Noctuoidea. The portion of this line lateral to the discal spot is usually convex toward the outer margin (excurved).",wing_lines_jpeg.jpg,
Proleg,"an abdominal leg found on Lepidoptera larvae. They are fleshy legs that occur in pairs, with rows of hooked spines at the tip called crochets.",,
Proximal,"near to the body or the base of an organism, as opposed to distal.",,
Pupa,"the stage between larva and adult in insects with complete or holometabolous metamorphosis. It is a non-feeding and non-mobile stage that, in moths, is often surrounded by a cocoon.",,
Quadrifid,"a term that describes a specific branching pattern of the hindwing veins, in which the distal cubitus vein appears to have four branches: M2, M3, CuA1, and CuA2. This branching pattern is present in the family Erebidae and some subfamilies of the Noctuidae (which are referred to as ""Quadrifid noctuids""). See trifid.",,
Quadripectinate,"a comb-like structure consisting of four projections per unit. Usually refers to an antenna.",,
Radius vein,"a branched vein located near the anterior margin of the wing. This vein typically has five branches, numbered R1-R5, in the Noctuoidea.",Veins_jpg.jpg,
Reniform spot,"a broad C-shaped or kidney-shaped discal spot found at the end of the discal cell in some moths. This spot is usually outlined in a dark color and filled with a lighter color.",spots_jpeg.jpg,
Saccular extension,"a distal, spine-like process of the ventral sacculus of the male genitalia, typically found in the genus Euxoa of the Noctuidae. The ends of the saccular extensions can often be observed without dissection if the scales are removed from the distal abdomen.",,
Sacculus,"an expanded basal portion of the valve of the male genitalia.",,
Scale,"a flattened, cuticular extension that covers the body and wings of members of the order Lepidoptera (""Lepidos"" means ""scale"" in Greek). These scales are often overlapping and contain pigment, providing for the distinctive color patterns found on the wings.",,
Scape,"the first, or most basal segment of the antenna.",,
Sclerotized,"hardened. Usually referring to a section of the exoskeleton or a specific structure that is hardened as opposed to soft and membranous.",,
Seta,"(plural: setae) a hair-like projection of the epidermis or living layer of the exoskeleton.",,
Spine,"an outgrowth of the exoskeleton, usually thorn-like.",,
Spur,"a moveable spine. Often refers to an enlarged or otherwise modified spine on the legs of some moths.",,
Submarginal band,"a dark band located near the margin of the hindwing of some moths. Differs from a marginal band in that a submarginal band does not extend to the outer margin.",submarginal_band_jpeg.jpg,
Subreniform spot,"a spot located in the median area posterior to (""below"") the reniform spot in a few noctuid moths. Examples are found in Papaipema and Catocala.",subreniform_spot_jpg.jpg,
Subterminal,"situated slightly proximal to the end of structure.",,
Subterminal area,"the portion of the wing that is located between the postmedial and subterminal lines.",wing_lines_jpeg.jpg,
Subterminal line,"a thin, often zigzag or patterned, transverse line situated near the distal end of the forewing between the postmedial and terminal lines. It is single, usually paler than the wing ground color, and often preceded by a dark shade or wedge-like spots in the Noctuoidea.",wing_lines_jpeg.jpg,
Tagma,"in insects and other arthropods, a group of segments that have become fused to form a functional unit (body region). For example, an insect body is composed of three tagmata: the head, thorax, and abdomen.",,
Tarsus,"the fifth and final leg segment, distal to the tibia. Often consists of several segments and ends with a pair of claws.",,
Tegula,"a small, flap-like structure that overlaps the base of the forewing. This structure is colored or patterned differently from the forewings and/or thorax in some moths.",body_regions_collar.jpg,
Terminal,"referring to the end of a structure that is farthest from its base of attachment.",,
Terminal area,"the portion of the wing between the subterminal line and the outer margin.",wing_lines_jpeg.jpg,
Terminal line,"a thin, transverse line situated at the margin of the forewing, at the base of the fringe. This line is often comprised of a series of dark spots between the veins in many members of the Noctuoidea",wing_lines_jpeg.jpg,
Thorax,"the second, or middle, tagma of an insect. An insect is composed of three tagmata: the head, thorax, and abdomen. The thorax itself is composed of three segments called the prothorax, mesothorax, and metathorax. The wings and legs of moths are attached to the thorax.",body_regions_jpeg.jpg,
Tibia,"the fourth segment of the insect leg. Often a large and elongate segment with some ornamentation or identifying structures.",,
Tiger moth,"a common name for the species in the tribe Arctiinae of the Erebidae, many of which are boldy-patterned with bright colors.",,
Trailing margin,"the posterior margin of the wing, opposite the costal margin. Also called the posterior margin.",wing_regions_jpeg.jpg,
Transverse,"across a structure, at a right angle to the longitudinal axis.",,
Trifid,"a term that describes a specific branching pattern of the hindwing veins, in which the distal cubitus vein appears to have three branches: M3, CuA1, and CuA2. This branching pattern is present in many subfamilies of the Noctuidae (which are referred to as ""Trifid noctuids""). See quadrifid.",,
Tubercle,"a small, usually rounded protuberance.",,
Tuft,"a group or bunch of setae arising from a group of very closely associated bases.",,
Tussock moth,"a common name for the species in the subfamily Lymantriinae of the Erebidae. This name refers to the hair pencils and tufts that are found on many larvae in this subfamily.",,
Uncus,"a long, hook-shaped midline process of the tegumen (the dorsal distal abdominal segment) present in many male moths that is used to hold the female during mating. Its shape is sometimes useful for identification.",,
Univoltine,"refers to a species that has one generation per year.",,
Valva,"In males, the broad paired paddle-like organs developed from the lateral ninth abdominal segment. The valves are articulated at the base, and are used to grasp the end of the female abdomen during mating They are typically modified in shape and bear additional structures, such as the clasper, digitus, and corona. The valve structure is often important for identification and their ends are usually visible without dissection after brushing the scales from the tip of the abdomen.",,
Valve,"see Valva",,
Ventral,"refers to the belly, or underside of an organism. For example, a ventral view would be looking at the animal from below.",,
Vernal,"referring to insect activity that takes place during the spring of the year.",,
Vesica,"the membranous, terminal part of the aedeagus. The vesica is collapsed inside the aedeagus prior to mating, and is everted inside the female during copulation. It is visible only after dissection, and must be inflated in order to observe its shape.",,
Voltinism,"the production of a certain number of generations by a species during a given year. For example, univoltine, bivoltine, or multivoltine are categories of voltinism. While most species are restricted in the number of generations that they produce during a year, the number of generations sometimes varies, depending on geographic location or the favorable weather of a given year.",,
W-mark,"a relatively common sideways W-shaped feature of the subterminal line in many species of noctuid moths, in which the line is zig-zagged, with teeth extend to or near the outer margin on veins M3 and CuA1.",W_mark_jpeg.jpg,
Worn,"an old or otherwise damaged moth specimen, from which many of the scales have been lost. Worn specimens are more difficult to identify than fresh ones.",,
